musica,letras
Aces High,""" We shall go on to the end We shall fight in  France We shall fightover the seas and oceans.we shall fight with growing confidence and growing strength in the air. We shall defend our island whatever the cost may bewe shall fight on beaches, we shall fight on the landing groundswe shall fight in the fields and in the streetswe shall fight on the hills. We shall never surrender."" There goes the siren that warns of the air raid Then comes the sound of the guns sending flak Out for the scramble, we've got to get airborne Got to get up for the coming attack Jump in the cockpit and start up the engines Remove all the wheelblocks, there's no time to waste Gathering speed as we head down the runway Got to get airborne before it's too late Running, scrambling, flying Rolling, turning, diving Going in again Running, scrambling, flying Rolling, turning, diving Run Live to fly, fly to live, do or die Won't you Run, live to fly, fly to live Aces high Move in to fire at the mainstream of bombers Let off a sharp burst and then turn away Roll over, spin round to come in behind them Move to their blindsides and firing again Bandits at 8 o'clock are moving behind us Ten  ME-109's out of the sun Ascending and turning, our spitfires to face them Heading straight for them I press down my guns Rolling, turning, diving Rolling, turning, diving Going in again Rolling, turning, diving Rolling, turning, diving Run Live to fly, fly to live, do or die Won't you Run, live to fly, fly to live Aces high"
Be Quick Or Be Dead,"Covered in sinners and dripping with guilt Making you money from slime and from filth Parading your bellies in ivory towers Investing our lives in your schemes and your powers. You got to watch them, be quick or be dead Snake eyes in heaven, the thief in your head You've got to watch them, be quick or be dead Snake eyes in heaven, the thief in your head Be quick or be dead, be quick or be dead See...  What's ruling all our lives See...  Who's pulling the strings See...  What's ruling all our lives See...  Who's pulling the stringsI bet you won't fall on your face Your belly will hold you in place The serpent is crawling inside of your ear He says you must vote for what you want to hear Don't matter what's wrong as long as you're alright So pull yourself stupid and rob yourself blind You got to watch them, be quick or be dead Snake eyes in heaven, the thief in your head You've got to watch them, be quick or be dead Snake eyes in heaven, the thief in your head Be quick or be dead, be quick or be dead You got to watch them, be quick or be dead Snake eyes in heaven, the thief in your head You've got to watch them, be quick or be dead Snake eyes in heaven, the thief in your head Be quick or be dead, be quick"
2 Minutes To Midnight,"Kill for gain or shoot to maim But we don't need a reason The  Golden  Goose is on the loose And never out of season. Blackened pride still burns inside This shell of bloody treason Here's my gun for a barrel of fun For the love of living death. The killer's breed or the  Demon's seed, The glamour, the fortune, the pain, Go to war again, blood is freedom's stain, Don't you pray for my soul anymore. 2 minutes to midnight, The hands that threaten doom.2 minutes to midnight, To kill the unborn in the womb. The blind men shout let the creatures out We'll show the unbelievers, The  Napalm screams of human flames Of a prime time  Belsen feast... Y E AH! As the reasons for the carnage cut their meatand lick the gravy, We oil the jaws of the war machineand feed it with our babies. The killer's breed or the  Demon's seed, The glamour, the fortune, the pain, Go to war again, blood is freedom's stain, Don't you pray for my soul anymore. 2 minutes to midnight, The hands that threaten doom.2 minutes to midnight, To kill the unborn in the womb. The body bags and little rags of childrentorn in two, And the jellied brains of those who remainto put the finger right on you As the madmen play on words and make us alldance to their song, To the tune of starving millionsto make a better kind of gun. The killer's breed or the  Demon's seed, The glamour, the fortune, the pain, Go to war again, blood is freedom's stain, Don't you pray for my soul anymore. 2 minutes to midnight, The hands that threaten doom.2 minutes to midnight, To kill the unborn in the womb. Midnight... Midnight... Midnight...is all night Midnight... Midnight... Midnight...is all night."
Man On The Edge,"The freeway is jammed And it's backed up for miles The car is an oven and baking is wild Nothing is ever the way it should be What we deserve we just don't get you seeA briefcase, a lunch and a man on the edge Each step gets closer to losing his head Is someone in heaven?  Are they looking down?' Cause nothing is fair just you look around Falling down Falling down Falling down He's sick of waiting of lying like this There's a hole in the sky for the angels to kiss Branded a leper because you don't fit In the land of the free You can live by your wits Once he built missiles a nations defence Now he can't even give birthday presents Across the city he leaves in his wakeA glimpse of the future a cannibal state Falling down Falling down Falling down"
Virus,"There's an evil virus that's threatening mankind Not state of the art, a serious state of the mind The muggers, the backstabbers, the two faced eliteA menace to society, a social disease Rape of the mind is a social disorder The cynics, the apathy one-upmanship order Watching beginnings of social decay Gloating or sneering at life's disarray Eating away at your own self esteem Pouncing on every word that you might be saying Rape of the mind is a social disorder The cynics, the apathy one-upmanship order Superficially smiling a shake of the hand As soon as the back is turned treachery is planned Rape of the mind is a social disorder The cynics, the apathy one-upmanship order Watching beginnings of social decay Gloating or sneering... at life's disarray When every good thing's laid to waste By all the jealousy and hate By all the acid wit and rapier lies And every time you think you're safe And when you go to turn away You know they're sharpening all their paper knives All in your mind All in your head Try to relate it All in your mind All in your head Try to escape it Without a conscience they destroy And that's a thing that they enjoy They're a sickness that's in all our minds They want to sink the ship and leave The way they laugh at you and me You know it happens all the time All in your mind All in your head Try to relate it All in your mind All in your head Try to escape it The rats in the cellar you know who you are Or do you? Watching beginnings of social decay"
Running Free,"Just sixteen, a pickup truck Out of money, out of luckI've got nowhere to call my own Hit the gas, and here I go I'm running free yeah, I'm running freeI'm running free yeah,  Oh I'm running free Spent the night in an L. A. jail And listened to the sirens wail They ain't got a thing on meI'm running wild, I'm running free I'm running free yeah, I'm running freeI'm running free yeah,  Oh I'm running free ( Get out off my way, yeah!) I'm running free yeah, I'm running freeI'm running free yeah, oh I'm running free Puller here at the  Bottle  Top Whiskey, dancing, disco hop Now all the boys are after me And that's the way it's gonna be I'm running free yeah, I'm running freeI'm running free yeah, oh I'm running free"
Wasted Years,"From the coast of gold, across the seven seasI'm travelling on, far and wide But now it seems I'm just a stranger to myself And all the things I sometimes do It isn't me, but someone else I close my eyes, and think of home Another city goes by, in the night Ain't it funny how it is, you never miss it 'til it's gone away And my heart is lying there and will be 'til my dying day So understand Don't waste your time always searching for those wasted years Face up, make your stand And realize you're living in the golden years Too much time on my hands, I got you on my mind Can't ease this pain so easily When you can't find the words to say It's hard to make it through another day And it makes me wanna cry And throw my hands up to the sky So understand Don't waste your time always searching for those wasted years Face up, make your stand And realize you're living in the golden years So understand Don't waste your time always searching for those wasted years Face up, make your stand And realize you're living in the golden years So understand Don't waste your time always searching for those wasted years Face up, make your stand And realize you're living in the golden years"
The Clairvoyant,"Feel the sweat break on my brow Is it me or is it shadows that are Dancing on the walls. Is this a dream or is it now Is this a vision or normality I see Before my eyes. I wonder why, I wonder how That it seems that the power is getting stronger Every dayI feel a strength an inner fire But I'm scared I won't be able to control it anymore There's a time to live and a time to die When it's time to meet the maker There's a time to live but isn't it strange That as soon as you're born you're dying. Just by looking through your eyes He could see the future penetrating right In through you mind See the truth and see your lies But for all his power couldn't foresee his own demise There's a time to live and a time to die When it's time to meet the maker There's a time to live but isn't it strange That as soon as you're born you're dying......and be reborn again?"
The Trooper,"You'll take my life, but I'll take yours too You'll fire your musket, but I'll run you through So when you're waiting for the next attack You'd better stand, there's no turning back The bugle sounds and the charge begins But on this battlefield no one wins The smell of acrid smoke and horses breath As I plunge on into certain death Ooh, ooh, ooh, ooh, ooh Ooh, ooh, ooh, ooh, ooh The horse he sweats, with fear, we break to run The mighty roar of the russian guns And as we race towards the human wall The screams of pain as my comrades fall We hurdle bodies that lay on the ground And the russians fire another round We get so near yet so far away We won't live to fight another day Ooh, ooh, ooh, ooh, ooh Ooh, ooh, ooh, ooh, ooh We get so close, near enough to fight When a russian gets me in his sights He pulls the trigger, and I feel the blowA burst of rounds take my horse below And as I lay there gazing at the sky My body's numb and my throat is dry And as I lay forgotten and alone Without a tear I draw my parting groan Ooh, ooh, ooh, ooh, ooh Ooh, ooh, ooh, ooh, ooh"
Hallowed Be Thy Name,"I'm waiting in my cold cell, when the bell begins to chime Reflecting on my past life and it doesn't have much time' Cause at 5 o'clock they take me to the gallows pole The sands of time for me are running low When the priest comes to read me the last ritesI take a look through the bars at the last sights Of a world that has gone very wrong for me Can it be that there's some sort of error Hard to stop the surmounting terror Is it really the end, not some crazy dream? Somebody please tell me that I'm dreaming It's not so easy to stop from screaming But words escape me when I try to speak Tears flow but why am I crying After all I'm not afraid of dying Don't I believe that there never is an end As the guards march me out to the courtyard Somebody cries from a cell:  God be with you If there's a god then why has he let me go? As I walk all my life drifts before me Though the end is near I'm still not sorry Catch my soul, it's willing to fly away Mark my words please believe my soul lives on Please don't worry now that I have goneI've gone beyond to see the truth When you know that your time is close at hand Maybe then you'll begin to understand Life down here is just a strange illusion Hallowed be thy name"
Sign Of The Cross,"Eleven saintly shrouded men Silhouettes stand against the sky One in front with a cross held high Come to wash my sins away Standing alone in the wind and rain Feeling the fear that is growing Sensing the change in the tide again Brought by the storm that is brewing Feel the anxiety hold off the fear Some of the doubt in the things you believe Now that your faith will be put to the test Nothing to do but await what is coming Why is then  God still protecting me Even when I don't deserve it? Though I am blessed with an inner strength Some they would call it a penance Why am I meant to face this alone Asking the question time and again Praying to  God won't keep me alive Inside my head feel the fear start to rise... They'll be saving their prayers when the moment comes There'll be penance to pay when it's judgement day And the guilty'll bleed when that moment comes They'll be coming to claim, take your soul away The sign of the cross The name of the roseA fire in the sky The sign of the cross They'll be coming to bring the eternal flame They'll be bringing us all immortality Holding comunion so the world be blessed My creator, my  God, lay my soul to rest The sign of the cross The name of the roseA fire in the sky The sign of the cross Lost the love of heaven above Chose the lust of the earth below Eleven saintly shrouded men Came to wash my sins away"
Lord Of The Flies,"( Commentary)I don't care for this world anymore,I just want to live my own fantasy Fate has brought us to these shores,what was meant to be is now happening I've found that I like this living in danger Living on the edge it feels, it makes me feel as one Who cares now what's right or wrong, it's reality Killing so we survive wherever we may roam Wherever we may hide, we've got to get away I don't want existence to end,we must prepare ourselves for the elementsI just want to feel like we're strong,we don't need a code of morality I like all the mixed emotion and anger It brings out the animal, the power you can feel And feeling so high with this much adrenaline Excited but scary to believe what we've become Saints and sinners,something willing us We are lord of the flies Saints and sinners, something within us To be lord of the flies (3:17- Solo:  Janick  Gers) Saints and sinners, something willing us We are lord of the flies Saints and sinners, something within us To be lord of the flies Saints and sinners, something willing us We are lord of the flies Saints and sinners, something within us To be lord of the flies"
Man On The Edge,"The freeway is jammed And it's backed up for miles The car is an oven and baking is wild Nothing is ever the way it should be What we deserve we just don't get you seeA briefcase, a lunch and a man on the edge Each step gets closer to losing his head Is someone in heaven?  Are they looking down?' Cause nothing is fair just you look around Falling down Falling down Falling down He's sick of waiting of lying like this There's a hole in the sky for the angels to kiss Branded a leper because you don't fit In the land of the free You can live by your wits Once he built missiles a nations defence Now he can't even give birthday presents Across the city he leaves in his wakeA glimpse of the future a cannibal state Falling down Falling down Falling down"
Fortunes Of War,After the war And now that they've sent us homewardI can't help but feel that I'm on my own No one can see just what this conflict has done to The minds of the men who are on their way home I'm scarred for lifebut it's not my flesh that's wounded So how can I face the torment alone The vivid scenes and all the recurring nightmaresI lay there and sweat until it gets light People say 'don't worry' Say that time's a perfect healer That the nightmares they will come to pass Can't hear what they're sayingI am living in my own world And I'm feeling trance-like all the time I hear voices in my head Could I really be going crazy In the night the visions seem so real Do you care if you live or die When you laugh are you really crying You're not sure what's real anymore Fortunes of war Fortunes of war Fortunes of warno pain anymore Sometimes I wakeI feel that my spirit's brokenI wonder if I've the strength...carry on carry on
Look For The Truth,All my dark dreams Drift like smoke in the breeze The fear grips me as I fall towards my sleep Here comes the nightmare that never ends Here is the dream that makes monsters of men In the house of my soul In rooms of ugliness and cold Memories locked away All the doubts and fears I never faced Now they come againI am falling down to meet with them Fear within us all Mine awake and they stand up tall Look for the truth Deepest cut of all from you Knife of the truth Blade of hatred slicing through I pray my sleep will break Maybe this time I won't wake Weakness I hide so well This dagger in my mind will tell It's my final standI make a fist out of each hand To the shadows of the past Take a breath and I scream attack
The Aftermath,Silently to silence fallin the fields of futile war Toys of death are spitting lead Where boys that were our soldiers bledwar horse and war machine Curse the name of liberty Marching on as if they shouldmix in the dirt our brothers' blood In the mud and rainwhat are we fighting for Is it worth the pain Is it worth dying for Who will take the blame Why did they make a war Questions that come again Should we be fighting at all Once a ploughman hitched his team Here he sowed his little dream Now bodies arms and legs are strewn Where musterd gas and barbwire bloom Each moment's like a yearI've nothing left inside for tears Comrades dead or dying lieI'm left alone asking why In the mud and rainwhat are we fighting for Is it worth the pain Is it worth dying for Who will take the blame Why did they make a war Questions that come again Should we be fighting at all After the war Left feeling no one has won After the war What does a soldier become
Judgement Of Heaven,"A lonely cry for help reaching out for help to anyoneA silent prayer to  God to help you on your wayI've been depressed so long It's hard to remember when I was happyI've felt like suicide a dozen times or more But that's the easy way, that's the selfish way The hardest part is to get on with your life You're searching in the dark Clutching at straws to find a way You take the  Tarot cards and throw them to the wind Your questions your beliefs,your inner thoughts, your whole existence And if there is a  God then answer if you will And tell me of my fate, tell me of my place Tell me if I'll ever rest in peace If you could live your life again Would you change a thing or leave all the same If you had the chance again Would you change a thing at all When you look back at your past Can you say that you are proud of what we've done Are there times when you believe That the right you thought was wrong All of my life I have believed Judgement of  Heaven is waiting for me"
Blood On The World's Hands,Sometimes it makes me wonder Sometimes it makes me question Sometimes it makes me saddened Always it makes me angry but... When you can see it happening The madness that's all around you Nobody seems to worry The world seems to powerless to act... It's out of control Blood on the world's hands Each day a new toll Another assassination The same day a new creation But what are they coming into Security of a world that brings... One day another killing Somewhere there's someone starying Another a savage raping Meanwhile there's someone laughing at us It's out of control Blood on the world's hands Each day it goes on Brutality and aggression Tomorrow another lesson Expecting another air raid Praying for a geaserfire They say things are getting better No need to be complacent There's chaos across the border And one day it could be happening to us It's out of control Blood on the world's hands It's our epitaph It's out of control Someone should know Blood on the world's hands
The Edge Of Darkness,"I've looked into the heart of darkness Where the blood red journey ends When you've faced the heart of darkness Even your soul begins to bend For a week I have been waiting Still I am only in  Saigon The walls move in a little closerI feel the jungle call me on Every minute I get weaker While in the jungle they grow strong What I wanted was a mission And for my sins they gave me one They brought it up just like room service Cause everyone gets what they want And when that mission was all overI'd never want another one I know, captain that you've done this work before We've got a problem you can help us all I'm sure The colonel's gone rogue And his methods are unsound You'll take a  P BR up river track him down There's a conflict in every human heart And the temptation is to take it all too far In this war things get so confused But there are some things which can not be excused He's acting like a god an insane lunatic Your mission - exterminate with extreme prejudice The route is dangerous and your progress may be slow Here is the file and it's all you need to know Here I am the knife in my hand And now I understand why the genius must die Now I stand alone in darkness With his blood upon my hands Where sat the warrior the poet Now lie the fragments of a man"
2 A.M.,"I get in from work at 2 a. M. And sit down with a beer Turn on late night t.v. And then wonder why I'm here It's meaningless and trivial And it washes over me And once again I wonder Is this all there is for me Here I am again Look at me again Here I am again On my own Trying hard to see What there is for me Here I am again On my own Life seems so patheticI wish I could leave it all behind This canvas chair, this bed, These walls that fall in on my mind Hold on for something better That just drags you through the dirt Do you just let go or carry on And try to take the hurt Here I am again Look at me again Here I am again On my own Trying hard to see What there is for me Here I am again On my own! Here I am again Look at me again Here I am again On my own Trying hard to see What there is for me Here I am again On my own! Alone again, alone againI here on my own!"
The Unbeliever,"When you start to take a look within Do you feel at ease with what you see Do you think you can have peace of mind And have self belief or be satisfied Do you think you even like yourself Or really think you could be someone else Is there something that you'd rather be Never thought you'd be, had the chance to see All my life I've run away All my life I've tried to hide away Feel the paranoia creeping in Like a cancer eating at the skin Do you feel you've lost your self-esteem And your self respect, what can you expect All my life I've run away All my life I've tried to hide away All my life... I've run away Let my faith... slip away All my life... I've run away Allowed my faith... to drift away Are you scared to look inside your mind Are you worried just at what you'll find Do you really want to face the truth Does it matter now, what have you got to lose Try to release the anger from within Forgive yourself a few immortal sins Do you really care what people think Are you strong enough to release the guilt All my life I've run away All my life I've tried to hide away All my life... I've run away Let my faith... slip away All my life... I've run away Allowed my faith... to drift away"
Be Quick Or Be Dead,"Covered in sinners and dripping with guilt Making you money from slime and from filth Parading your bellies in ivory towers Investing our lives in your schemes and your powers. You got to watch them, be quick or be dead Snake eyes in heaven, the thief in your head You've got to watch them, be quick or be dead Snake eyes in heaven, the thief in your head Be quick or be dead, be quick or be dead See...  What's ruling all our lives See...  Who's pulling the strings See...  What's ruling all our lives See...  Who's pulling the stringsI bet you won't fall on your face Your belly will hold you in place The serpent is crawling inside of your ear He says you must vote for what you want to hear Don't matter what's wrong as long as you're alright So pull yourself stupid and rob yourself blind You got to watch them, be quick or be dead Snake eyes in heaven, the thief in your head You've got to watch them, be quick or be dead Snake eyes in heaven, the thief in your head Be quick or be dead, be quick or be dead You got to watch them, be quick or be dead Snake eyes in heaven, the thief in your head You've got to watch them, be quick or be dead Snake eyes in heaven, the thief in your head Be quick or be dead, be quick"
From Here To Eternity,"She fell in love with his greasy machine, she leaned over wiped his kickstart clean She'd never seen the beast before, but she left there wanting more more more But when she was walking on down the road, she heard a sound that made her heart explode He whispered to her to get on the back, ""I'll take you on a ride from here to eternity""  Hell ain't a bad place, hell is from here to eternity Hell ain't a bad place, hell is from here to eternity  She must be having one of her crazy dreams, she'd never sat on a piece so mean It made her feel like's she's on cloud nine, she even thought she heard the engine sigh But like all dreams that come to an end, they took a tumble at the devil's bend The beast and  Charlotte they were two of a kind, they'd always take the line from here to eternity  Hell ain't a bad place, hell is from here to eternity Hell ain't a bad place hell is from here to eternity (2:16- Solo:  Dave  Murray)(2:28- Solo:  Janick  Gers)  Hell ain't a bad place, hell is from here to eternity Hell ain't a bad place hell is from here to eternity"
Afraid To Shoot Strangers,"Lying awake at night I wipe the sweatfrom my brow But it's not the fear 'cosI'd rather go now Trying to visualize the horrors thatwill lay ahead The desert sand mound a burial ground When it comes to the time Are we partners in crime? When it comes to the time We'll be ready to die God let us go now and finish what'sto be done Thy  Kingdom  Come Thy shall be done... on earth Trying to justify to ourselves thereasons to go Should we live and let live Forget or forgive But how can we let them go on this way? The reign of terror corruption must end And we know deep down there'sno other way No trust, no reasoning, no more to say Afraid to shoot strangers Afraid to shoot strangers"
Fear Is The Key,"We live our lives in fever, in a choking sweat of fear In the heat of the night you can feel so much In the heat of the night I scream "" Don't touch!""I remember a time when we used and abused We fought all our battles in vainI remember a time we thought that passion was free In the heat of the night... bodies aflame We live in fever... I hear your secret heartbeat, I can hear your silent cries The kids have lost their freedom, and nobody cares till somebody famous dies I remember a time when we used and abused And we fought all our battles in vainI remember a time we thought that passion was free In the heat of the night... bodies aflame Now we live in a world of uncertainty Fear is the key - to what you want to be You don't get a say the majority get's it's way You're outnumbered by the bastards till the day you die I hear your secret heartbeat, I can hear your silent cries Oh, it gets to lies and lies The kids have lost their freedom, and nobody cares till somebody famous dies They're telling lies and lies and lies and lies and lies... I remember a time when we used and abused Ah, it was just liesI remember a time we thought that passion was free But it was just lies and lies and lies and lies and lies In the night, ooh (4:27- Solo:  Janick  Gers) We live in fever, we live in fever, we live in fever Now we live in a world of uncertainty Fear is the key - to what you want to be You don't get a say the majority get's it's way You're outnumbered by the bastards till the day you die"
Childhood's End,"I'd sail across the oceanI'd walk a hundred miles If I could make it to the end Oh just to see a smile You see it in their faces The sadness in their tears The desperation and the anger Madness and the fear No hope, no life, just pain and fear No food, no love, just greed is here Starvation and the hunger The suffering and the pain The agonies of all-out war When will it come again? The struggle for the powerA tyrant tries again Just what the hell is going on? When will it ever end? No hope, no life, just pain and fear No food, no love, just greed is here You see the full moon float You watch the red sun rise We take these things for granted But somewhere someone's dying Contaminated waters Pollution and decay Just waiting for disease to strike Oh will we learn someday? No hope, no life, just pain and fear No food, no love, no seed, childhood's end"
Wasting Love,"Maybe one day I'll be an honest man Up 'till now I'm doing the best I can Long roads, long days, of sunrise to sunset Sunrise to sunset Dream on, brothers, while you can Dream on, sisters, I hope you find the one All of our lives covered up quickly By the tides of time Spend your days full of emptiness Spend your years full of loneliness Wasting love in a desperate caress Rolling shadows of nights Dream on, brothers, while you can Dream on, sisters, I hope you find the one All of our lives covered up quickly By the tides of time Sands are flowing and the lines Are in your hand In your eyes, I see the hunger And the desperate cry that tears the night Spend your days full of emptiness Spend your years full of loneliness Wasting love in a desperate caress Rolling shadows of nights Spend your days full of emptiness Spend your years full of loneliness Wasting love in a desperate caress Rolling shadows of nights Spend your days full of emptiness Spend your years full of loneliness Wasting love in a desperate caress Rolling shadows of nights"
The Fugitive,On a cold  October morning As frost lay on the ground Waiting to make my moveI make no sound Waiting for the mist to cover all aroundI carefully picked my time then took the wall I'm sick and tired of running The hunger and the painA stop to look about then off again Being at the wrong place and the wrong time Suspected of a hit that was my crime I am a fugitive being hunted down like gameI am a fugitive but I've got to clear my nameI am a fugitive being hunted down like gameI am a fugitive but I've got to clear my name Always looking 'round me Forever looking backI'll always be a target for attack Ever moving onwards Always on the run Waiting for the sight of a loaded gun I am a fugitive being hunted down like gameI am a fugitive but I've got to clear my nameI am a fugitive being hunted down like gameI am a fugitive but I've got to clear my name Even if I find them And get to clear my nameI know that things can never be the same But if I ever prove my innocence some dayI've got to get them all to make them pay I am a fugitive being hunted down like gameI am a fugitive but I've got to clear my nameI am a fugitive being hunted down like gameI am a fugitive but I've got to clear my name
Chains Of Misery,"There's a madman in the corner of your eye He likes to pry - into your sunlight He wants to burst into the street with you and  IA world of shadows and of rain He's seen what love is He wants to pay you back with guilt... He lies to you - he won't let you be He's got your chains of misery He won't be stilltill he's turned your key He holds your chains of misery He´s got your chains of misery There's a prophet in the gutter in the street He says ""you're damned!"" - And you believe him... He's got a vision but it shines out through youreyesA world of hatred and fear... He felt what love means He wants to pay you back with pain He lies to you - he won't let you be He's got your chains of misery He won't be stilltill he's turned your key He holds your chains of misery He´s got your chains of misery(repeat) It's only lovethat holds the key to our hearts.... It's only love... He lies to you - he won't let you be He's got your chains of misery He won't be stilltill he's turned your key He holds your chains of misery He´s got your chains of misery He lies to you - he won't let you be He's got your chains of misery He won't be stilltill he's turned your key He holds your chains of misery He´s got your chains of misery"
The Apparition,"Now I'm here can you see me' Cos I'm out on my own When the room goes cold tell me You can feel me' Cos I'm here Here I am, can you see me Passing through, on my way To a place I'd been to only in my Dreams before In a world of delusion Never turn your back on a friend' Cos you can count your Real true friends on one hand Through life There are those that deceive you There are those that'll let you down Is there someone out there that would Die for you Thought not Live your life with a passion Everything you do, do well You only get out of life what you put in So they say In a world of confusion People never say what they mean If you want a straight answer Go look for one Right now In a room full of strangers Do you stand with your back to the wall Do you sometimes feel like you're On the outside Looking in? You can make your own luck You create your destinyI believe you have the power If you want to It's true You can do what you want to If you try a little bit harderA little bit of faith goes a long way It does Are we here for a reason?I'd like to know just what you think It would be nice to know what Happens when we die Wouldn't it? There are some who are wise There are some who are born naiveI believe that there are some that must Have lived before Don't you? As for me, well I'm thinking You gotta keep an open mind But I hope that my life's not an Open and shut case Extrasensory perception Life after death, telepathy Can the soul live on and travel through Space and time? You know I feel so elated' Cos I'm about to find it out And when I know all the answers Maybe then I'll come back To fill you in You don't be alarmed now If I try to contact you If things go missing or get moved around It's me And don't disbelieve it No matter what your friends Might say We'll meet up again someplace Some way One day"
Judas Be My Guide,"Lights out! We live in a world of darkness No doubt! Everything's up for sale We sleep! All of the world is burning We pray! To  God for a better deal Nothing is sacred Back then or now Everything's wasted Is that all there is?  Can I go now? Judas, my guide Whispers in the night Judas, my guide Fight wars! Die in a blaze of glory Come home! Meat in a plastic sack Fall down! Better pray to your  God for mercy So kneel! And help the blade cut clean Nothing is sacred Back then or now Everyone wasted Is that all there is?  Is that it now? Judas, my guide Whispers in the night Judas, my guide Judas, my guide Whispers in the night Judas, my guide I live in the black I have no guiding lightI'm whispering in your dreams... Judas my guide Whispers in the night Judas my guide Judas, my guide Whispers in the night Judas, my guide"
Weekend Warrior,"The rebel of yesterday, tomorrow's fool Who are you kidding being that cool? Trying to break away from running With the pack But they ain't listening so you've Gotta go back You're a weekend warrior when You're one of the crowd But it's over, just look at you now... You're not so brave the way you behave It makes you sick, gotta get out quick It's all bravado when you're out With your mates It's like a different person goes through Those gates And the game begins The adrenalin's high Feel the tension maybe someone Will die... A weekend warrior latelyA weekend warrior sometimesA weekend warrior maybe you ain't That way anymore You've gotta get out gotta get away But you're in with a clique it's not Easy to stray You've gotta admit you're just Living a lie It didn't take long to work out why It's hard to say why you got involved Just wanting to be part Just wanting to belong... A weekend warrior latelyA weekend warrior sometimesA weekend warrior maybe you ain't That way anymore Some of the things that you've done You feel so ashamed After all it's only a game...  Isn't it? And after all the adrenalin's gone What you gonna do on monday? A weekend warrior latelyA weekend warrior sometimesA weekend warrior maybe you were Never like that at all"
Fear Of The Dark,"I am a man who walks alone And when I'm walking in a dark road At night or strolling through the park When the light begins to changeI sometimes feel a little strangeA little anxious when it's dark Fear of the dark, fear of the darkI have a constant fear that something's always near Fear of the dark, fear of the darkI have a phobia that someone's always there Have you run your fingers down the wall And have you felt your neck skin crawl When you're searching for the light? Sometimes when you're scared to take a look At the corner of the room You've sensed that something's watching you Fear of the dark, fear of the darkI have a constant fear that something's always near Fear of the dark, fear of the darkI have a phobia that someone's always there Have you ever been alone at night Thought you heard footsteps behind And turned around and no one's there? And as you quicken up your pace You'll find it hard to look again Because you're sure that someone's there Fear of the dark, fear of the darkI have a constant fear that something's always near Fear of the dark, fear of the darkI have a phobia that someone's always there Fear of the dark Fear of the dark Fear of the dark Fear of the dark Fear of the dark Fear of the dark Fear of the dark Fear of the dark Watching horror films the night before Debating witches and folklores The unknown troubles on your mind Maybe your mind is playing tricks You sense, and suddenly eyes fix On dancing shadows from behind Fear of the dark, fear of the darkI have constant fear that something's always near Fear of the dark, fear of the darkI have a phobia that someone's always there Fear of the dark, fear of the darkI have constant fear that something's always near Fear of the dark, fear of the darkI have a phobia that someone's always there When I'm walking in a dark roadI am a man who walks alone"
Be Quick Or Be Dead,"Covered in sinners and dripping with guilt Making you money from slime and from filth Parading your bellies in ivory towers Investing our lives in your schemes and your powers. You got to watch them, be quick or be dead Snake eyes in heaven, the thief in your head You've got to watch them, be quick or be dead Snake eyes in heaven, the thief in your head Be quick or be dead, be quick or be dead See...  What's ruling all our lives See...  Who's pulling the strings See...  What's ruling all our lives See...  Who's pulling the stringsI bet you won't fall on your face Your belly will hold you in place The serpent is crawling inside of your ear He says you must vote for what you want to hear Don't matter what's wrong as long as you're alright So pull yourself stupid and rob yourself blind You got to watch them, be quick or be dead Snake eyes in heaven, the thief in your head You've got to watch them, be quick or be dead Snake eyes in heaven, the thief in your head Be quick or be dead, be quick or be dead You got to watch them, be quick or be dead Snake eyes in heaven, the thief in your head You've got to watch them, be quick or be dead Snake eyes in heaven, the thief in your head Be quick or be dead, be quick"
The Number Of The Beast,"Woe to you, oh, earth and sea For the devil sends the beast with wrath Because he knows the time is short Let him who hath understanding reckon The number of the beast for it is a human number Its number is six hundred and sixty six I left alone, my mind was blankI needed time to think to Get the memories from my mind What did I see, can I believe That what I saw that night was real And not just fantasy Just what I saw, in my old dreams Were they reflections of my warped mind Staring back at me ' Cause in my dreams, it's always there The evil face that twists my mind and brings Me to despair The night was black, was no use holding back' Cause I just had to see, was someone watching me In the mist, dark figures move and twist Was all this for real, or just some kind of hell666, the number of the beast Hell and fire was spawned to be released Torches blazed and sacred chants were praised As they start to cry Hands held to the sky In the night, the fires are burning bright The ritual has begun, satan's work is done666, the number of the beast Sacrifice is going on tonight This can't go on, I must inform the law Can this still be real or just some crazy dream But I feel drawn towards the chanting hordes They seem to mesmerize Can't avoid their eyes666, the number of the beast666, the one for you and me I'm coming back, I will return And I'll possess your body and I'll make you burnI have the fire, I have the forceI have the power to make my evil take it's course"
